14307182
2612.00
fname1
fname2
adress
0422803461
flname1@gmail.com
19-09-2022  07:31 AM,Opening Balance,0,0,0
19-09-2022  07:44 AM,Deposit,0,2000,2000
19-09-2022  07:48 AM,Withdrawal,400,0,1600
19-09-2022  07:49 AM,Withdrawal,100,0,1500
19-09-2022  07:50 AM,Withdrawal,10,0,1490
19-09-2022  10:26 AM,Deposit,0,200,1690
19-09-2022  10:32 AM,Deposit,0,200,1890
19-09-2022  10:33 AM,Deposit,0,200,2090
19-09-2022  10:36 AM,Deposit,0,200,2290
19-09-2022  10:36 AM,Deposit,0,200,2490
19-09-2022  10:37 AM,Deposit,0,200,2690
19-09-2022  10:38 AM,Deposit,0,122,2812
19-09-2022  10:39 AM,Withdrawal,200,0,2612
19-09-2022  10:39 AM,Closing Balance,0,0,2612
